Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Side,Zipcode,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset
1,5/25/20,5/25/20 9:28,38.889622,-76.953194,R,20019,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,5/27/20,5/27/20 7:11,38.877953,-76.961731,L,20019,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
2,5/27/20,5/27/20 4:53,37.14748,-113.487785,R,84780,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
1,5/28/20,5/28/20 7:45,38.916809,-77.009041,R,20002,Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day
1,5/29/20,5/29/20 9:12,38.885029,-77.019928,R,20024,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,5/29/20,5/29/20 11:32,38.9524,-77.009003,R,20011,Cloudy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,6/1/20,6/1/20 9:10,38.91106,-76.998352,R,20002,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,6/3/20,6/3/20 8:20,38.945301,-76.986977,L,20017,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,6/3/20,6/3/20 10:00,38.930321,-77.111794,L,20016,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day
1,4/30/20,4/30/20 9:44,38.962399,-77.427589,R,20041,Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,5/1/20,5/1/20 18:34,33.76852,-82.798599,R,30673,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,5/7/20,5/7/20 9:17,38.917168,-76.978096,R,20002,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day
2,5/7/20,5/7/20 23:13,38.875008,-76.974525,R,20020,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
2,5/8/20,5/8/20 7:54,38.862961,-77.000465,R,20020,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,5/8/20,5/8/20 9:21,38.835659,-77.007828,L,20032,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day
1,5/14/20,5/14/20 5:24,38.90675,-76.97905,R,20002,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
1,5/15/20,5/15/20 8:52,38.88969,-76.959747,R,20019,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,5/20/20,5/20/20 8:53,37.112568,-113.438148,R,84780,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
2,5/21/20,5/21/20 7:53,38.878189,-77.037308,R,20024,Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,5/21/20,5/21/20 8:14,38.907391,-77.008911,L,20002,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day
2,5/23/20,5/23/20 7:52,37.166416,-113.451653,R,84780,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,6/19/20,6/19/20 8:35,37.145168,-113.49176,R,84780,Clear,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
1,6/22/20,6/22/20 8:42,38.876827,-77.038643,R,20024,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
